nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Gracias Carlos Figueroa candidato CPCCS participar Tercera Emision PuntoNoticias Regresamos manana 17 00 Conduccion Luis Davila Loor CF luisdavilaloor carlosfigueroa6,2019-02-19
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Criterio grafico conocido clasico caricaturista ASDRUBAL,2019-02-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gobierno mete mano bolsillo dias atraco tras Ahora resulta puntos cobro empresas entidades estatales cobra 0 60 dolares igual cualquier agencia bancaria Vean miserables Basta hacernos pagar saqueo AP RC,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Mas deuda menos 10 100 China consuelo Mientras siguen metiendo mano bolsillo ecuatorianos creando tasas impuestos dias tasas transferencias bancarias servicios llamingos cuenta,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,VEEDUR1AFCorrea davidroserow HernanUlloa recuerdo surgio Comision Civica Control Corrupcion presidida Jorge Vivanco Mendieta emanada Movimientos Sociales Senor Larreategui parte gobierno Mahuad,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Lenin seria funcionario gobierno d Correa mas alto cargo q nunca supo sucedia mas d q participan atraco Algun comentario juanseroldan dudo personas honestas dentro gobierno saben hacer tanta corrupccion,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ahora denunciar robo llama TENTATIVA DIFUSION INFORMACION CIRCULACION RESTRINGIDA Fiscalia llama implicados hermano Lenin Moreno hijas justicia pacotilla,2019-02-25
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hoy Contraloria General presentado pedido EXAMEN ESPECIAL Concesion Puerto Aguas Profundas POSORJA debido perjuicio economico riesgo ambiental posible peculado ilegal contrato DPW grupo Nobis,2019-02-27
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,unico decidido voto CPCCS Carlosfigueroa unico candidatos enfrento dictadura oportunistas q hoy dicen luchar corrupcion ultimos 10 anos cuenten,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Viernes 1 JavierDiaz panchidalbo pdte AITE Ecuador Ajustes FMI sector productivo carlosfigueroa6 candidato CPCCS Propuestas 5to poder EliseoAzueroR asambleista Voto nulo elecciones ContactoDirecto LeninArtieda morasamanta 7 ecuavisa,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,marialocorrea Ulloa reservas votare x pana Fabricio Correa gusta Votare x Carlos Figueroa carlosfigueroa6 David Rosero davidroserow ALANDMOLESTINAM Aland Molestina mujeres idea tampoco lista,2019-03-06
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Fernando da conocer investigaciones actos corruptos anterior gobierno enseguida suspenden cierran cuenta Basta perseguir denuncian saqueo Mejor dejen robar,2019-03-08
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,proposito manejo devolucion 13 5 millones dolares aparecio cuentas Tomislav Topic devolucion abogado ex esposa dijo 16 1 millones comportamiento justicia ecuatoriana indignante,2019-03-10
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,cnegobec DianaAtamaint FiscaliaEcuador TCE Ecuador,2019-03-11
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,,2019-03-20
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hoy FiscaliaEcuador dr carlosfigueroa6 reconocio firma denuncia presentada Concesion Puerto Aguas Profundas Posorja Seran investigados MashiRafael mas funcionarios gobierno anterior VillaFernando martharoldos,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Mientras cerca 1 8 millones votantes fantasmas padron electoral CNE elimina ciudadanos saben van votar correato Asi venido actuando mas decada Fraude tecnica cientificamente preparado,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Gracias organizaciones sociales varias provincias consideraron nombre multiples listas Gracias colegas apoyan candidatura Polificcion kimontare martharoldos VillaFernando Jeanninecruzz VEEDUR1AFCorrea,2019-03-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hola cnegobec Aqui Fragua Ciudadana colectivo SofiaAlmeidaEc HernanUlloa mrivadeneirac carlosfigueroa6 ALANDMOLESTINAM promocion candidaturas Quisiera saber si tambien sido amenazados descalificar candidaturas,2019-03-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hoy CPCCS Abog Jose Alarcon expuso Informe Final veeduria Concesion Autoridad Portuaria Puerto Bolivar mismo aceptado responsabilidades penales civiles indicios corrupcion igual Posorja,2019-04-04
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gran encuentro Fernando Villavicencio gran luchador conozco compromiso transparencia lucha corrupcion Apoyamos gestion favor Democracia Verdad VillaFernando carlosfigueroa6 cesarulloa 77 danomanzano,2019-04-13
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,ahora veremos actua Fiscal Diana Salazar si sirve sirve,2019-04-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ciudad Machala Oro Fernando Villavicencio comparte ciudadania investigaciones corrupcion gobierno AP RC casos arroz verde 502,2019-05-09
