term,tf,idf,tf_idf
lorohomero,442,0.14113813447282453,62.38305543698844
quito,153,1.2020100951580874,183.9075445591874
alcalde,122,1.4284269718172662,174.2680905617065
yunda,86,1.778100720297015,152.9166619455433
jorge,83,1.813607408753925,150.52941492657575
quitograndeotravez,75,1.9149599030142124,143.62199272606594
ciudad,60,2.138103454328422,128.28620725970532
hacer,48,2.361247005642632,113.33985627084633
gracias,44,2.4482583826322615,107.7233688358195
trabajo,29,2.865152186564049,83.08941341035741
