term,frequency
lorohomero,442
quito,153
alcalde,122
yunda,86
jorge,83
quitograndeotravez,75
ciudad,60
hacer,48
gracias,44
él,35
trabajo,29
poder,27
buen,26
trabajar,26
electo,26
candidato,25
campán,25
apoyo,25
sector,25
junto,24
compartir,23
favor,23
pueblo,22
nuevo,22
ir,21
concejal,21
gran,20
querer,20
panasjorgeyundo,18
voto,17
barrio,17
mejor,17
decir,17
problema,17
esperar,16
amigo,16
grande,16
futuro,16
oscarhoyosec,16
bien,16
todo,15
animal,15
alangasi,15
encontrar,15
poner,14
votatodo19,14
mundo,14
ecuador,14
quitovuelveasonreir,14
deber,14
propuesta,14
votar,14
movilidad,13
alcaldia,13
conocer,13
vida,13
propuesto,13
gente,13
plan,13
dia,13
persona,13
solo,13
alcaldio,13
domingo,13
aqui,13
listo,12
proyecto,12
quiteno,12
feliz,11
momento,11
hermano,11
ayudar,11
equipo,11
seguir,11
exito,11
importante,11
saludo,11
necesitar,11
tambien,11
siempre,11
marzo,10
perrito,10
tiempo,10
ciudadano,10
compromiso,10
buscar,10
notimundoaldio,10
capital,10
contar,10
ayuda,10
mucho,10
2019,9
teafundacion,9
parte,9
jorgeyundaes,9
senor,9
lista,9
concejaldistritosur,9
servicio,9
politico,9
empleo,9
metrodequito,9
seguridad,9
solución,9
tema,9
patodiazguevar,9
municipal,9
cultura,9
total,8
alegrio,8
estimado,8
perdio,8
cambiar,8
calle,8
extravio,8
apoyar,8
casa,8
patodiazguevara,8
obra,8
llegar,8
tener,8
dejar,8
santiguardera,8
saber,8
quitar,8
centro,8
historia,8
oportunidad,8
norte,7
usted,7
experiencia,7
joseph,7
maurici,7
reunion,7
abrazo,7
alguien,7
urbano,7
claro,7
mitad,7
paso,7
dio,7
caso,7
informacion,7
cualquiera,7
plastico,7
entrevista,7
construir,7
bienestar,7
publico,7
animalista,7
jorgeyundaalcalde,7
desear,7
municipio,7
teleamazonasec,7
agua,7
ano,7
autoridad,7
manán,7
estar,7
lilianayunda,7
mismo,7
mercado,7
yundaalcalde19,7
querido,7
palabra,6
espacio,6
serio,6
cada,6
falso,6
juanmanuelaguirre,6
distrito,6
empresa,6
mascota,6
fauna,6
unico,6
turismo,6
vivir,6
manera,6
ahora,6
ganar,6
adoptar,6
sucio,6
derechos,6
metro,6
cosa,6
gracia,6
zeus,6
seguro,6
proceso,6
semana,6
loro,6
solucionar,6
radiocanelaec,6
recurso,6
basura,6
recibir,6
sero,6
publicar,6
vecino,6
suerte,6
medio,6
doctor,6
dar,6
antoniojosedesucre,6
medico,6
poco,6
lilianayundar,6
joven,6
salir,6
alejaduquer,6
posesion,6
dolar,6
santiguarderas,6
recompensar,6
jorenpanyun3,6
dignidad,5
respaldo,5
ayer,5
transporte,5
merecer,5
ser,5
yundaes19,5
visto,5
carlosalomoto1,5
adopcion,5
grupo,5
hogar,5
escuchar,5
amor,5
jorgeacato,5
ramirodiaz64,5
longogalo,5
lugar,5
tecnico,5
programa,5
calidad,5
ojala,5
lista19,5
pedir,5
hermoso,5
parque,5
municipioquito,5
rescateanimalec,5
crear,5
realizado,5
familia,5
perrita,5
mauriciorodasec,5
stalindo1977,5
henry,5
humano,5
excelente,5
panasjorgeyunda,5
hora,5
verdad,5
musico,5
nombre,5
uhemisferio,5
acompanar,5
dias,5
defensoresar,5
unidad,5
mensaje,5
llevar,5
resultado,5
buena,5
alguno,5
aguadequito,5
salio,5
tú,5
manjarrez,5
adelante,5
caminar,4
gusto,4
radio,4
camino,4
tomar,4
idea,4
lindo,4
gestion,4
yundar,4
alegria,4
conjunto,4
demostrar,4
cambio,4
occidental,4
generar,4
dueno,4
cuidar,4
responder,4
humildad,4
elnacionalbitri,4
oscarhoyosconcejal,4
sistema,4
respuesta,4
emprendedor,4
aceptar,4
lorito,4
ciudadania,4
ensuciar,4
volver,4
mantener,4
hospital,4
patrimonio,4
sera,4
falta,4
alexismoncayo,4
concejal2019,4
realizar,4
24horasuio,4
renebedon,4
nadie,4
primero,4
limpio,4
gobierno,4
colegio,4
solucion,4
tvclacomunidad,4
central,4
hombre,4
administracion,4
machado,4
recibimiento,4
delincuencia,4
vehiculo,4
foto,4
noche,4
alcalde19,4
respetar,4
baston,4
prioridad,4
viaje,4
nunca,4
asambleaecuador,4
bogota,4
enriquepenalós,4
elecciones2019,4
dialogo,4
invitado,4
notimundoestelar,4
rumboalaalcaldiadequito,4
positivo,4
pequeno,4
companero,4
tarde,4
llamar,4
cerrar,4
elnacionalec,4
sabado,4
evento,4
politica,4
conversar,4
ofrecer,4
pensar,4
video,4
canín,4
yo,4
ecuatoriano,4
reunir,4
campanas,4
electoral,4
camara,4
derecho,4
vicenteopi,3
pablo,3
ejercer,3
revisar,3
largo,3
abandonado,3
creativo,3
gads,3
alto,3
acabar,3
labrador,3
alegre,3
parroquia,3
vereda,3
ofelia,3
mano,3
xavierozevallos,3
angelito,3
lilianayundo,3
venir,3
proponer,3
partido,3
real,3
pisuli,3
dato,3
felicidad,3
campana,3
luisfer593,3
organizado,3
esterilizacion,3
clasificacion,3
trabajarar,3
cierto,3
guarderasconcejal,3
espectacular,3
ancestral,3
perdido,3
bienvenidoalcalde,3
hacia,3
veterinario,3
carino,3
gano,3
bueno,3
desarrollo,3
cnegobec,3
agradecer,3
rotativo,3
plataforma,3
interno,3
abril,3
fuerza,3
cuenta,3
vivo,3
feriado,3
causa,3
visitar,3
infantil,3
miembro,3
bello,3
orden,3
sabio,3
respeto,3
deleyporquito,3
salud,3
conoceatucandidato,3
opcionanimalistaalcaldiaquito,3
pasion,3
nicoespinosatv,3
mayor,3
pais,3
recoleccion,3
profesional,3
ceremonia,3
estadio,3
comprometido,3
partir,3
universidad,3
dudar,3
cordial,3
karenisabelm,3
siguiente,3
proteccion,3
saludar,3
considerar,3
union,3
numero,3
mediano,3
general,3
lunes,3
artista,3
adoptado,3
insulto,3
creer,3
tingo,3
quitoquerido,3
luisevivanco,3
blanco,3
aporte,3
wazaak,3
had,3
belleza,3
presidencia,3
kartodromo,3
hemisferio,3
mashifrago,3
unido,3
historico,3
miedo,3
concejo,3
atencion,3
metropolitano,3
anymini,3
iniciativo,3
continuo,3
humor,3
colega,3
fenocinecuador,3
eleccion,3
adema,3
doloroso,3
lenin,3
practica,3
arte,3
empresario,3
rural,3
dispensador,3
maltrato,3
nacional,3
elcomerciocom,3
elecciones2019ec,3
hablar,3
semaforo,3
tanto,3
disculpa,3
jajajajar,3
ejemplo,3
necesario,3
luego,3
cuanto,3
brindar,3
eluniversocom,3
negar,3
extraviado,3
entregar,3
devolver,3
quimbiulco,3
transformar,3
pena,3
transito,3
orgullo,3
vision,3
bienvenido,2
algun,2
arseniovivanco,2
espaldon,2
hijo,2
maravilloso,2
triste,2
embargo,2
mostrar,2
verdadero,2
nino,2
hola,2
consejo,2
vacuna,2
ciudadelar,2
beneficio,2
abrir,2
lado,2
valle,2
saludos,2
inseguridad,2
lograr,2
oficial,2
visita,2
habra,2
regularizar,2
existir,2
inversion,2
anualmente,2
alcald,2
raza,2
requerir,2
call,2
fomentar,2
avanzar,2
ibarra,2
vera,2
deseo,2
productivo,2
comercial,2
itchimbio,2
estebanavila,2
milenario,2
despu,2
auditoria,2
residuo,2
pues,2
reciclaje,2
elalcaldedetodo,2
coche,2
luchar,2
formalidad,2
aguilar33,2
estrategia,2
luis,2
dicho,2
itchimbia,2
presupuesto,2
parecer,2
animalito,2
eldelquito,2
ningun,2
radiacion,2
transicion,2
trafico,2
temprano,2
espiritual,2
escribir,2
realizo,2
tierra,2
dejado,2
sacar,2
honor,2
exponer,2
felicitación,2
criticar,2
realizara,2
construirar,2
atender,2
futbol,2
negritar,2
regresar,2
jonathaber,2
transparente,2
caballero,2
honra,2
parra,2
estario,2
resultar,2
cynthiaviteri6,2
paeecuador,2
yoamoanimal,2
bebes,2
sagrado,2
ubicado,2
gentil,2
nivel,2
noma,2
fiesta,2
genial,2
violencia,2
compr,2
secreto,2
desesperado,2
serar,2
fcarrionm,2
declarar,2
0996399800,2
pagina,2
inter,2
honesto,2
0995081884,2
vota,2
laradioredonda,2
puente,2
entrevistar,2
fmmundo,2
dado,2
cerrado,2
puerta,2
vialidad,2
conocoto,2
crecer,2
quedar,2
cercania,2
tampoco,2
propiedad,2
parecio,2
mes,2
fabriciovelav,2
perimetral,2
interesado,2
lahoradelplaneta,2
definitivamente,2
acerca,2
empleado,2
tumbaco,2
muchachos,2
porelnulo,2
aeropuerto,2
libre,2
cesarmontufar51,2
pasar,2
paco,2
decidir,2
hades,2
desastre,2
gustar,2
esperanzar,2
cordialmente,2
explico,2
claramente,2
dejo,2
forma,2
yundaalcalde,2
puesto,2
pasado,2
urgente,2
saludable,2
desecho,2
llano,2
juro,2
noticia,2
hueco,2
bomberosquito,2
cesped,2
comparto,2
evolucion,2
escuela,2
hecho,2
duro,2
recinto,2
sino,2
chipilaso93,2
presto,2
caiga,2
corriente,2
ver,2
privado,2
asumir,2
jueves,2
deportivo,2
carapunguir,2
digital,2
plazo,2
invitar,2
competir,2
publica,2
internacional,2
movimiento,2
servir,2
responsable,2
comprometer,2
acto,2
voly,2
decidar,2
esperarer,2
recordar,2
pichinchagrandeotravez,2
ayudenmar,2
carcelir,2
estipendiojusto,2
fcomhemisferio,2
gabrielaobar,2
jorgeyundauio,2
academia,2
democratico,2
guayaquil,2
directorio,2
colectivoney,2
amiga,2
paulinaaguirre7,2
alentar,2
alcaldiadequito,2
garantizar,2
unidas,2
conversatorio,2
rojo,2
mayo,2
exigir,2
cierre,2
enriquecedoro,2
clinica,2
movil,2
extension,2
parado,2
clave,2
acompanado,2
importancia,2
cotocollao,2
entregado,2
noble,2
promover,2
bombero,2
espós,2
planificacion,2
capacidad,2
ubidiaprefecto2019,2
andar,2
sonrisa,2
simple,2
necesidad,2
acaso,2
acción,2
grata,2
democracia,2
triunfe,2
entidad,2
resto,2
diadelpatrimonio,2
realidad,2
concluir,2
cultural,2
desprestigiar,2
nacido,2
segun,2
ganado,2
jorgeyundaser,2
disfrutar,2
liga,2
termino,2
llamado,2
fecha,2
empezo,2
destino,2
gustario,2
mejoramiento,2
distritonorte,2
adoptandomir,2
negro,2
achanguin,2
querio,2
via,2
sociedad,2
dentro,2
conozca,2
objetivo,2
verodriguezd,2
auto,2
carro,2
precio,2
ordenanza,2
preventivo,2
juanmaguirre1,2
emotivo,2
encargado,2
bolivararmijo,2
converso,2
carapungo,2
caupicho,2
podran,2
alangaseno,2
recuperacion,2
comision,2
atendido,2
rpcjorge,2
viernes,2
mil,2
actividad,2
justo,2
mujer,2
mnalvear,2
pasantecanela,2
ejecutar,2
espero,2
planificar,2
recorrido,2
influencia,2
liderazgo,2
2016,2
encabezado,2
listar,2
serrano88,2
diegocastrohh,2
detalle,2
esperanza,2
patriciopalau,2
reunión,2
transmitir,2
comunicacion,2
tesoro,2
labor,2
mejorar,2
miami,2
sufrio,2
terminar,2
chulla515,2
obligación,2
