term,frequency
quito,309
compromisorc5,172
luisamaldonadom,162
votatodo5,143
ciudad,87
pueblo,77
poder,73
mashirafael,66
recuperar,59
hacer,57
mujer,57
trabajo,55
marzo,55
vivo,53
vecino,53
luisa,52
junto,50
quiteno,49
gracias,48
patria,46
listo,44
querido,43
alcaldio,41
paolapabonc,38
abrazo,38
alcaldesa,37
general,37
candidato,37
seguir,36
alegrio,35
todotodito5,32
esperanza,32
querer,31
centro,31
aqui,31
campán,30
cultural,30
propuesta,30
dia,29
derecho,28
victoria,28
voto,28
carino,27
votar,26
companero,26
ciudadano,26
elmomentoesahora,26
generar,26
luisaeslista5,26
todo,26
social,25
popular,25
capital,25
gobierno,25
apoyo,25
somosmasec,25
trabajar,23
oportunidad,23
barrio,23
iniciar,22
plaza,22
violencia,22
gracia,21
primero,21
elmomentoesahoro,21
puesto,21
desarrollo,21
esperar,21
cultura,21
politico,21
amor,20
hablar,20
entrevista,20
norte,20
elegir,20
basura,20
joven,19
solidaridad,19
siempre,19
solidario,19
gente,18
decir,18
vivir,18
ahora,18
familia,18
conocer,18
domingo,18
feliz,18
acompanar,18
sero,17
alcaldia,17
dignidad,17
moncayo,17
sector,17
belmonte,17
vivienda,17
voluntad,17
merecer,17
mucho,17
contar,17
tiempo,17
recibir,16
publico,16
mejor,16
liderazgo,16
hora,16
inseguridad,16
problema,16
calle,15
recorrer,15
vida,15
moncayoesroda,15
actividad,15
propuesto,15
todito,15
nino,15
electoral,15
cnegobec,15
lograr,14
ecuadorsinparo,14
empleo,14
ecuadorrc,14
atucucho,14
seguridad,14
revolucion,14
ganar,14
municipio,14
historia,13
manán,13
espacio,13
profundo,13
compartir,13
necesitar,13
radio,13
ultimo,13
infinito,13
exigir,13
acompaname,13
todo5,13
revolucionciudadán,13
franksamaniegom,13
roda,12
alto,12
pichinchauniver,12
obra,12
ciudadania,12
economia,12
movilidad,12
soledadbenitezq,12
senal,12
ecuatoriano,12
pichincho,12
avanzar,12
virgiliohernand,12
ver,12
nunca,12
fuerza,12
cada,12
construccion,12
llegar,12
concejal,12
compromiso,12
ricardopatinoec,12
luchar,11
pichincha,11
derechos,11
toro,11
medio,11
claro,11
moreno,11
luisreinach,11
nuevo,11
pais,11
companerar,11
lista,11
gabrielaespais,11
recordar,11
alcalde,11
ecuador,11
invito,11
buen,11
caraván,11
solo,11
camino,11
quitena,11
trabajador,11
maldonado,11
revolucionciudadana,11
estar,10
rebelde,10
ser,10
libre,10
corrupcion,10
despido,10
acuerdosur,10
lucha,10
comunitario,10
recorrimos,10
millón,10
red,10
dirigente,10
rafael,10
parroquia,10
gran,10
grande,10
cumpleano,10
saludo,10
persecucion,10
cuidar,10
fomentar,10
luisaesquito,10
recuperarer,10
abandono,9
parte,9
moncayoesmoreno,9
felicidad,9
americo,9
lugar,9
cambiar,9
faltar,9
niunameno,9
ejemplo,9
sandinin,9
pacomoncayo,9
saber,9
candidata,9
deber,9
nomastorosenquito,9
digno,9
firme,9
mayor,9
moni,9
gestion,9
ano,9
calderon,9
prefectar,9
seguro,9
concejalia,9
bla,9
rincon,9
sonia,9
corazon,9
valiente,9
usted,9
sandoval5,9
importante,9
sofiaespinrc,8
fuerte,8
proponer,8
jama,8
marajtivo,8
concejo,8
incluir,8
carnaval,8
apoyar,8
transporte,8
alcaldesar,8
metrodequito,8
muestra,8
programa,8
revocatoriamorenoya,8
esantos1957,8
dolar,8
respeto,8
16h00,8
acompanarno,8
construir,8
proceso,8
distrito,8
mismo,8
resistenciacec,8
pueblap,8
tener,8
arecuperarlapatrio,8
punto,8
8m2019,8
ramirorddhh,8
condición,8
equipo,8
elecciones2019ec,8
mercado,8
guamanidir,8
realidad,8
agenda,8
call,8
caso,7
representante,7
plan,7
bien,7
combatir,7
manera,7
rafaelvuelveconla5,7
perder,7
actual,7
jorgeacato,7
marcelaholguin,7
triunfo,7
debate,7
recorrido,7
convertir,7
dios,7
ramirodiaz64,7
longogalo,7
turismo,7
hermoso,7
la5ladecorrea,7
megacaraván,7
hijo,7
constitucion,7
continuismo,7
tomar,7
arte,7
rural,7
zona,7
construirer,7
aprovechar,7
tambien,7
hacia,7
real,7
metropolitano,7
cumplir,7
paso,7
esperanzo,6
sociedad,6
defensa,6
sanbla,6
continuar,6
fiesta,6
mano,6
emprendimiento,6
recibirno,6
celebrar,6
chillogallo,6
acompano,6
alexissanchezec,6
garantizar,6
trabaje,6
llevar,6
elección,6
felicitación,6
biloxi,6
odio,6
artistico,6
provincia,6
gestor,6
vencerer,6
somosrc,6
frestrepopedro,6
prefectura,6
invitar,6
momento,6
nadie,6
1mcombativo,6
decidido,6
participar,6
corrida,6
respetar,6
crisis,6
muerte,6
dar,6
cao,6
expresión,6
nacional,6
semilla,6
juan,6
cosa,6
evidente,6
minuto,6
permitir,6
desarrollar,6
despues,6
crearer,6
emaseo,6
comunidad,6
mundo,6
historico,6
quitar,6
sueno,6
emergencia,6
campana,6
labor,6
gustar,6
somospichinchauniversal,6
juventud,6
invitado,6
vota5ladecorrear,6
proximo,6
servicio,6
fblive,6
urna,5
inclusion,5
clic,5
alfaristaec,5
respuesta,5
contrato,5
defender,5
bienestar,5
contigo,5
quitoruralrc5,5
cinco,5
lindo,5
fraude,5
cafe,5
abril,5
vision,5
debatequito8,5
casa,5
resultado,5
decision,5
tranquilidad,5
persona,5
carapunguir,5
hlvs,5
camión,5
entregar,5
volver,5
bicentenario,5
bendición,5
generacion,5
quedar,5
brinde,5
alegre,5
artistica,5
militancia,5
tecnico,5
mision,5
exafmecuador,5
tarde,5
lenin,5
hecho,5
desempleo,5
recurso,5
debatir,5
voter,5
luchador,5
genere,5
universidad,5
elegirar,5
poco,5
pensar,5
cambio,5
agradecer,5
facebook,5
noroccidente,5
parque,5
trav,5
dejar,5
motivo,5
lograrer,5
sede,5
permitirer,5
lunes,5
justicia,5
barrial,5
febrero,5
companera,5
cumplirer,5
tradición,5
colectivo,5
dirar,5
odebrecht,5
equidad,5
necesario,5
palabra,5
arma,5
publicar,5
unir,4
posible,4
