nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Holguin,juancaholguin,buen domingo poco minuto sere entrevistado pamozaec laradioredonda acompanenme,2019-02-17
Juan Carlos,Holguin,juancaholguin,pattycopal jcsolín cesarmontufar51 tecnologia derogacion normativo permitir terrible contaminacion auditivo constar plan gobierno,2019-02-17
Juan Carlos,Holguin,juancaholguin,pattycopal tebosamaniego jcsolín cesarmontufar51 emprendedor urbano corredor comercial emergente programa marcha pnud lograr ano condición digno trabajo call estir orden,2019-02-17
Juan Carlos,Holguin,juancaholguin,boto junto juancaholguin equipo cambio innovacionyexperienciar federicoperezi creo21,2019-02-17
Juan Carlos,Holguin,juancaholguin,acompanenme manán 24horasuio gisella bayonar propuesto recuperar quito innovacion experiencia innovarparacambiar,2019-02-18
Juan Carlos,Holguin,juancaholguin,buen dia poco minuto empezar entrevista gisella bayonar teleamazonasec quieres seguir él online poder hacer él aqui,2019-02-19
Juan Carlos,Holguin,juancaholguin,ir optimizar presupuesto municipal eliminar duplicidad función institución reducir numero asesor retirar puesto politico entregar administracion,2019-02-19
Juan Carlos,Holguin,juancaholguin,empleo principal propuesta generar empleo ciudad crezca proponer ordenar venta crear corredor comercial emprendedor urbano poder trabajar,2019-02-19
Juan Carlos,Holguin,juancaholguin,turismo importante desarrollo productivo ciudad presentar propuesta evento organizado sector turistico ciudad candidatosyturismo capturpichincha,2019-02-19
Juan Carlos,Holguin,juancaholguin,buen dia hablar fherrerarauz llevar quito futuro presentar propuesta ecuainm seguir entrevista,2019-02-20
Juan Carlos,Holguin,juancaholguin,preocupante mafia sindical taxismo secuestra autoridad candidato contar corrupcion cupos tecnologia quito seguirar crisis necesario pacomoncayo aceptar debatir 4pelagatos4,2019-02-20
Juan Carlos,Holguin,juancaholguin,gracias juancaholguin polificcion escuchar floresta barrio ciudadano habitant quito ordenanza especial ejemplo varios hermano,2019-02-21
Juan Carlos,Holguin,juancaholguin,aqui agendir entrevista viernes febrero 2019 escuchano majestadfm partir 6h00 fabriciovelav alexismoncayo juancaholguin juankacastillog marlonguevaraec gadbanos,2019-02-22
Juan Carlos,Holguin,juancaholguin,javier masson pvelasquezec pacomoncayo 4pelagatos4 hola javier centro democraciar debatir propuesta campán contrastar,2019-02-22
Juan Carlos,Holguin,juancaholguin,trav democraciaparticipativo querer promover ciudadania comprometido cambio social ciudadania informar organizar hacer cosa suceder cabildocivico quito juancaholguin pacomoncayo lorohomero cesarmontufar51 paolavintimilla,2019-02-25
Juan Carlos,Holguin,juancaholguin,chirito aiarconsalvador mariasolcorral espacio espacio estar reservado problema funcionario calificar discrecionalidad estrategia comunicacional,2019-02-25
Juan Carlos,Holguin,juancaholguin,empecer conversatorio patrimonio natural quito reto oportunidad organizado acuerdo ecuador,2019-02-25
Juan Carlos,Holguin,juancaholguin,tema perro callejero deber solucionar politico salud publicar proponer nuevo censo implementacion chip mascotas ano poder comercializar perro raza impulsar adopcion,2019-02-26
Juan Carlos,Holguin,juancaholguin,ginely1234 jofrecalderon santiguardera msaludecuador humbertoalazar fabovillamar anibal carrera quitopress sfquito memesquitoec lorohomero propuesta abordo casi punto poder encontrar plan,2019-02-26
Juan Carlos,Holguin,juancaholguin,arrancar debate dialogo academico candidato alcald gracias usfq ecuador invitacion poder seguir intervencion aqui,2019-02-27
Juan Carlos,Holguin,juancaholguin,luisesgo,2019-02-27
Juan Carlos,Holguin,juancaholguin,imjupiteer cynthiaviteri6 jimmyjairalo pacomoncayo pablodavalos63 fcojimenez21 blockchain contratacion publicar tramitologia datar responsabilidad proteccion dato movilidad salud obra publica transparencia dato abierto,2019-03-01
Juan Carlos,Holguin,juancaholguin,inseguridad vivir solidaridad mariasolcorral lamentable hecho,2019-03-01
Juan Carlos,Holguin,juancaholguin,debatir presentar propuesta concreto deber candidato seguir debateporquito organizado decidir aqui,2019-03-08
Juan Carlos,Holguin,juancaholguin,buen dias estare mrivadeneiro conversar propuesta vision quito escuchen entrevista,2019-03-08
Juan Carlos,Holguin,juancaholguin,dia despierto certeza quito poder mejor ciudad hijo nieto supuesto poder poder hacer mayor ilusion quito quitotambienpuedehacer él innovarparacambiar,2019-03-09
Juan Carlos,Holguin,juancaholguin,mauriciorodasec hago publicar carta alertar pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridica contrato metro lenin pacomoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,mauriciorodasec hago publicar carta alertar pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridica contrato metro lenin pacomoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,mauriciorodasec hago publicar carta alertar pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridica contrato metro lenin pacomoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,crespocris polificcion mariaantonia888 hola cristina recuerdo preguntar conteste respeto pedia retire candidatura respetar preferencia electoral pues tratar democracia creer mejor proyecto ciudad mejor equipo responsable plan gobierno,2019-03-12
Juan Carlos,Holguin,juancaholguin,skueffner izurietavarea plan integral soterramiento poder revisar él plan gobierno,2019-03-12
Juan Carlos,Holguin,juancaholguin,rosamariatorr apreciado rosamariatorr gracias poner yo tema cultura civico central cambio necesitar quito adjunto respuesta,2019-03-13
Juan Carlos,Holguin,juancaholguin,candidato juancaholguin intervencion desayuno conversatorio candidato alcaldio organizado fecabir,2019-03-13
Juan Carlos,Holguin,juancaholguin,pacomoncayo aprimerahora gral quito crisis sevillaroque hacer mejor alcaldia dejar mejor sistema transporte publico region habio empezado proyecto proceso centro comercial ahorro tena visionario hablar verdad,2019-03-13
Juan Carlos,Holguin,juancaholguin,lorohomero teleamazonasec estimado amigo teleamazonasec gustario reemplazar general debate solo podrar respuesta ciudad frente,2019-03-14
Juan Carlos,Holguin,juancaholguin,buen dias ultimo viernes campán empecer entrevista invito escucharlos,2019-03-15
Juan Carlos,Holguin,juancaholguin,efrapaez cesarmontufar51 dicho claramente eliminar cierto patente emprendimiento trabajo poder meter mano bolsillo profesional trabajar honestamente pagar sueldo pipón,2019-03-15
Juan Carlos,Holguin,juancaholguin,tarn2018 efrapaez cesarmontufar51 aqui extorsionar profesional emprendedor ciudadano general propongo ciudad menos impuesto menos tramit dinero bolsillos burocracia quito emprendedor mirar contestacion,2019-03-15
Juan Carlos,Holguin,juancaholguin,profhoax cesarmontufar51 pena errado criterio comparto defín voto cesar buen hombre alegro voto edad virtud debilidad criticar hecho joven vision innovacion tratar entender nuevo oportunidad,2019-03-15
Juan Carlos,Holguin,juancaholguin,profhoax cesarmontufar51 creer errado buen tarde,2019-03-15
Juan Carlos,Holguin,juancaholguin,profhoax cesarmontufar51 usted deber disculpar él hacer,2019-03-15
Juan Carlos,Holguin,juancaholguin,preguntar encuesta falta ver marzo,2019-03-15
