nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Villacreses,jorgevillacrese,turismo guayaquil ciudad miedo alto grado percepcion inseguridad propuesta devolver tranquilidad guayaquileno guayaquilseguro alcalde2019 alguacildelaseguridad,2019-02-19
Jorge,Villacreses,jorgevillacrese,ir contar centro monitoreo estarir escuadrón drón estarir ubicado zona mas conflictivo policia ir manejar sistema aportar dar herramienta guayaquilseguro alcalde2019 ecuatorianounido alguacildelasegurido,2019-02-19
Jorge,Villacreses,jorgevillacrese,listo microfono 680radioatalaya alguacildelaseguridad alcalde2019 ecuatorianounidolista4 guayaquilseguro,2019-02-19
Jorge,Villacreses,jorgevillacrese,hoy estare 11h00 cne guaya solicitar exija dir provincial ecuatorianounidolista4 asigne pauta publicitario ley corresponder candidato derecho mensaje difundar medio comunicacion alcalde2019,2019-02-19
Jorge,Villacreses,jorgevillacrese,excelente diar iniciar jornada teleramaec invito seguirnos vivo alguacildelaseguridad alcalde2019 ecuatorianounidolista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,alcalde ir crear 10 escuadrón cada 5 drón serar manejado policia querer tener guayaquilseguro alguacildelaseguridad alcalde2019 votasinmiedo lista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,buscar modelo exitosos país hacer guayaquil alguacildelaseguridad guayaquilseguro alcalde2019 ecuatorianounidolista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,entrevista teleamazonasec junto juan manuel bermudez tambien candidato alcaldiir denunciar uso pauta publicitario partir directivo guayas ecuatorianounidolista4 libertadespueblir,2019-02-20
Jorge,Villacreses,jorgevillacrese,invitar seguir entrevista masalladelasurnas marielaviteri fmradiofuego marielatv contar él propuesta mas tema alguacildelaseguridad guayaquilseguro alcalde2019,2019-02-26
Jorge,Villacreses,jorgevillacrese,buen dias breve estare canal tvdigital contar guayaquileno propuesto alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,objetivo fortalecer seguridad guayaquil escuadrón drón dar capacitacion herramienta informal organizarlo ambos propuesta ir mano uso tecnologio alguacildelaseguridad ecuatorianounido lista4 alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,vivo radiohuancavilk conversare propuesto alcalde2019 alguacildelaseguridad lista4 escuadrondedrón camarasdereconocimientofacial,2019-02-27
Jorge,Villacreses,jorgevillacrese,invitar 19h00 sintonizar teleramaec eluniversocom conocer propuesta debate organizado ecuadordecidir alguacildelaseguridad guayaquilseguro guayaquilsinmiedo votasinmiedo lista4,2019-02-28
Jorge,Villacreses,jorgevillacrese,nota periodistico expresoec debatir gracias informar embargo deber aclarar 1 minuto tiempo exponer imposible ampliar cifra detall propuesto,2019-03-01
Jorge,Villacreses,jorgevillacrese,cynthiaviteri6 radioelite9971 estimado candidata habrio gustado participe debate conocer nuevo propuesta plan trabajo notariado cnegobec eluniversocom expresoec ecuavisa teleamazonasec,2019-03-01
Jorge,Villacreses,jorgevillacrese,jimmyjairala cendemocratico entender fijacion garrote ahi ver gente apoyo candidato jorge villacreses partido social cristiano ahora bien turbar ud senala pareceria comenzar simpatizante pancarta villacreses estatico ahi,2019-03-02
Jorge,Villacreses,jorgevillacrese,turba socialcristiano ahora tambien duena peaje via costa agredir hombre mujer cendemocratico reducido numero comenzar organizar él siempre asi bastar garrote bastadegarrotepsc,2019-03-02
Jorge,Villacreses,jorgevillacrese,ec decidir jairalateapoyo bermudezbronson jimmyjairala jorgevillacrese cedeno marth ginocornejom grupofaro eluniversocom corapesatelital teleramaec felicidad mejor manera saber candidato proyecto alcaldiar ciudad aquel acudir lastimo estar altura guayaquileno si guerrero,2019-03-04
Jorge,Villacreses,jorgevillacrese,preparado contar guayaquileno propuesta alcaldia2019 canalunotv,2019-03-06
Jorge,Villacreses,jorgevillacrese,alcalde ir presidir consejo seguridad cantonal dare policia herramienta drón camara reconocimiento facial detectar delincuente ciudad seguro traer turismo inversion alguacildelaseguridad alcalde2019 ecuatorianounido,2019-03-06
Jorge,Villacreses,jorgevillacrese,vivo ondapositiva941 expondre propuesta guayaquilseguro alguacildelaseguridad guayaquilseguro votasinmiedo,2019-03-06
Jorge,Villacreses,jorgevillacrese,buen dia invito escucharme radioi99 ampliar propuesta alcalde2019 alguacildelaseguridad guayaquilseguro ecuatorianounidolista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,testigo exclusa guayaquil recorrido campán asalto logro someter delincuente escapo mostrar nivel inseguridad ir combatir tecnologia escuadrondedrón ecuatorianounido lista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,gracias radioaguilar entrevista ir guayaquilseguro votar 24demarzo alguacildelaseguridad candidato movimientoecuatorianounido lista4 escuadrondedrón,2019-03-11
Jorge,Villacreses,jorgevillacrese,invito acompanir escuchar propuesta alcaldiadeguayaquil radiocentroec alguacildelaseguridad guayaquilseguro movimientoecuatorianounido lista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,querer dar seguridad guayaquil experiencia bajare indiz delictivo trabajar coordinacion policia aviacioncivil implementar escuadrondedrón camara reconocimiento facial alguacildelaseguridad alcalde2019 ecuatorianounido,2019-03-11
Jorge,Villacreses,jorgevillacrese,buen dia invito escucharme radioi99 ampliar propuesta alcalde2019 alguacildelaseguridad guayaquilseguro ecuatorianounidolista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,invito escucharme radioamericaec alguacildelaseguridad alcalde2019 ecuatorianounidolista4,2019-03-12
Jorge,Villacreses,jorgevillacrese,pasar gran momento trasnochadostc candidato seccional guaya alguacildelaseguridad alcalde2019 ecuatorianounidolista4,2019-03-13
Jorge,Villacreses,jorgevillacrese,gabrar entrevista radioi99 programa dialogodelatarde jorge escobar,2019-03-13
Jorge,Villacreses,jorgevillacrese,seguir informar propuesta guayaquilseguro radiouniversal,2019-03-13
Jorge,Villacreses,jorgevillacrese,preocupante consumo droga guayaquil recorrido encontrar adolescente consumir frente construirar centro rehabilitacion personal especializado areas adecuado recuperacion alcalde2019 ecuatorianounidolista4 alguacil,2019-03-13
Jorge,Villacreses,jorgevillacrese,hoy 22h00 decisionendemocracia conocerer candidato alcaldio guayaquil jimmyjairalo fcojimenez21 jaimelomas74 cedeno marth simonbolivarrosero edgarsalazar 51 octaviosuarez jorgevillacrese cynthiaviteri6 v,2019-03-14
Jorge,Villacreses,jorgevillacrese,radioaguilar listo informar mas propuesta alcaldiadeguayaquil alguacildelaseguridad movimientoecuatorianounido lista4,2019-03-14
Jorge,Villacreses,jorgevillacrese,entrevista vivo radiohuancavilk 830am,2019-03-14
Jorge,Villacreses,jorgevillacrese,gracias recibimiento dar poblador flor bastion blocar 10 tú hacer guayaquil productivo seguro alguacildelaseguridad alcalde2019 votasinmiedo ecuatorianounidolista4,2019-03-17
Jorge,Villacreses,jorgevillacrese,buen dia cresatelital contar mas propuesta alguacildelaseguridad alcalde2019 ecuatorianounidolista4,2019-03-18
Jorge,Villacreses,jorgevillacrese,iniciar grabacion programa ultimahora canal ultimahoraecu,2019-03-19
Jorge,Villacreses,jorgevillacrese,vivo entrevista rtsecuador propuesto alcaldiadeguayaquil alcalde2019 alguacildelaseguridad guayaquilseguro guayaquilsinmiedo votasinmiedo lista4,2019-03-19
Jorge,Villacreses,jorgevillacrese,preparado iniciar entrevista radiocentroec conoceran mas propuesto escuadrondedrón camarasdereconocimientofacial alcalde2019 alguacildelaseguridad lista4,2019-03-20
Jorge,Villacreses,jorgevillacrese,buen dias radiohuancavilk dar conocer propuesta hoy ultimo plazo campán electoral alguacildelaseguridad alcalde2019 ecuatorianounidolista4 guayaquilseguro votasinmiedo,2019-03-21
Jorge,Villacreses,jorgevillacrese,cada invierno bache mas bache guayaquil cambiarar administracion alcalde usar material duradero menor costo ahorrar dinero negociado poco nanoenzyma,2019-03-21
Jorge,Villacreses,jorgevillacrese,voto alguacil listas4 escuchar calle gracia amado guayaquil confiar votasinmiedo,2019-03-22
