nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Sol,Corral,mariasolcorral,dificil campana electoral puerto puerta caminar calle gente gustas gustas empezar hacer candidato solo camina,2019-02-17
María Sol,Corral,mariasolcorral,entender infraccion cometido vulneracion derechos spot problema agresion ofensa impedir candidata ejerzo libre derecho expresar él injusticia elchancletazo,2019-02-17
María Sol,Corral,mariasolcorral,admirar mujer empoderada gracias amparo yatoca yopropongo estimu él deporte femenino futbol,2019-02-18
María Sol,Corral,mariasolcorral,propongo cambio ciudad incluyente tolerante ciudad pensado mujer buen mujer buen nino abuelos joven buen,2019-02-18
María Sol,Corral,mariasolcorral,benavides2019 chelo94 cesarmontufar51 jcsolín abenavidesgol1,2019-02-18
María Sol,Corral,mariasolcorral,yatocauncambio,2019-02-18
María Sol,Corral,mariasolcorral,basura problema nuevo administracion deber responder eficiencia invito conocer propuesta quitoecologico recoleccion basura alternativa moderno yatocauncambio mariasolalcadés,2019-02-18
María Sol,Corral,mariasolcorral,yatocauncambio,2019-02-19
María Sol,Corral,mariasolcorral,estar repartir puesto juancaholguin cesarmontufar51 luisamaldonadom yoapoyoayundo jcsolín cnegobec,2019-02-19
María Sol,Corral,mariasolcorral,venir cuatro ano mexico aprendido ciudad logrado mantener él primero turismo latinoamerico primero sudamerico candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-19
María Sol,Corral,mariasolcorral,consul mexico aprendizaje permanente tema poder aprender mexico promocion turistico lider gastronomia arte musico folclore quito lugar maravilloso potenciar candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,gualo puembo proyecto estudio listo costario millón dolar podriar concesionar fijar tarifa peaje trayecto serio minuto ayudario aliviar movilidad aeropuerto candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,actualmente promedio tasar promedio crecimiento turista anual 2009 2015 vicealcaldés tener crecimiento paso resultar mala politica candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,necesitar conexion eficiente aeropuerto trayecto hacia aeropuerto poder tardar hora medio afectar directamente querer visitar quito candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,concesion centro convención bicentenario revisar dar ano serio cuestionamiento sector candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,quito inmensamente aburrido propuesta revertir ampliar hora productividad comercio articulado ecu911 sello calidad aplicacion movil turismo candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,expresidentar comision presupuesto entender perfectamente funcionamiento municipio hacer presupuesto justo administrar recurso medio escasez candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,,2019-02-20
María Sol,Corral,mariasolcorral,quito inmensamente aburrido propuesta revertir ampliar hora productividad comercio articulado ecu911 sello calidad aplicacion movil turismo candidatosenturismo mariasolalcaldesa yatocaturismo,2019-02-21
María Sol,Corral,mariasolcorral,,2019-02-21
María Sol,Corral,mariasolcorral,decir maria lucha propiedad nadie cada nadie derecho descalificarno tratarno ofensivamente especialmente mujer transitado espacio duro mujer,2019-02-21
María Sol,Corral,mariasolcorral,candidata alcaldio quito mariasolcorral ofrecer extender horario comercio ampliar productividad dentro ciudad elnacionalconloscandidatos2019 noticia ecuador,2019-02-21
María Sol,Corral,mariasolcorral,carta abierto nessa teran nessaterar,2019-02-22
María Sol,Corral,mariasolcorral,feminismo machismo,2019-02-23
