nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Sol,Corral,mariasolcorral,mas dificil campana electoral puerta puerta caminar calle gente gustas gustas ahi empieza hacer candidato solo camina,2019-02-17
María Sol,Corral,mariasolcorral,entendemos infraccion cometida CNE vulneracion derechos spot problema agresion ofensa impide candidata ejerza libre derecho expresarse injusticias ElChancletazo,2019-02-17
María Sol,Corral,mariasolcorral,Admiro mujeres empoderadas Gracias Fer Amparo YATOCA YOPROPONGO mas estimulos deporte femenino futbol,2019-02-18
María Sol,Corral,mariasolcorral,Si propongo cambio ciudad mas incluyente tolerante Ciudad pensada mujeres si buena mujeres buena ninos abuelos jovenes buena,2019-02-18
María Sol,Corral,mariasolcorral,Benavides2019 Chelo94 CesarMontufar51 JCSolines abenavidesgol1,2019-02-18
María Sol,Corral,mariasolcorral,YATOCAUNCAMBIO,2019-02-18
María Sol,Corral,mariasolcorral,basura problema nueva administracion debe responder eficiencia invito conocer propuestas QuitoEcologico recoleccion basura alternativa moderna YaTocaUnCambio MariaSolAlcadesa,2019-02-18
María Sol,Corral,mariasolcorral,YATOCAUNCAMBIO,2019-02-19
María Sol,Corral,mariasolcorral,estan repartiendo puestos juancaholguin CesarMontufar51 LuisaMaldonadoM YoApoyoAYunda JCSolines cnegobec,2019-02-19
María Sol,Corral,mariasolcorral,Vengo cuatro anos Mexico aprendido ciudad logrado mantenerse primera turismo Latinoamerica ser primeros Sudamerica CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-19
María Sol,Corral,mariasolcorral,Consul Mexico aprendizaje permanente tema podemos aprender Mexico promocion turistica ser lider gastronomia arte musica folclore Quito lugares maravillosos vamos potenciar CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
María Sol,Corral,mariasolcorral,via Gualo Puembo proyecto estudios listos costaria 110 millones dolares podriamos concesionar fijar tarifa peaje trayecto seria 13 minutos ayudaria aliviar movilidad aeropuerto CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
María Sol,Corral,mariasolcorral,Actualmente promedio tasa promedio crecimiento turistas 5 anual 2009 2015 Vicealcaldesa teniamos crecimiento 10 paso resultado malas politicas CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
María Sol,Corral,mariasolcorral,Necesitamos conexion eficiente Aeropuerto Hoy trayecto hacia Aeropuerto puede tardar 1 hora media afecta directamente quieren visitar Quito CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
María Sol,Corral,mariasolcorral,concesion Centro Convenciones Bicentenario voy revisar dado 25 anos serios cuestionamientos sector CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
María Sol,Corral,mariasolcorral,Hoy Quito inmensamente aburrido propuestas revertir ampliar hora productividad 2 am comercios articulados ECU911 sello calidad aplicacion movil turismo CandidatosEnTurismo MariaSolAlcaldesa YaTocaTurismo,2019-02-20
